,0,1,2,3,4
0,1.7156902865306316,2.7406481200424375,2.9125354585816847,2.9125354585816847,2.9125354585816847
1,0.820178473400234,1.6849203308661986,2.459474387246756,2.9199626892593065,2.9921129301276324
2,0.45009017906388005,0.9262817687948309,1.5966423890978942,2.325572028458775,2.850146720889662
3,0.32331189868096455,0.6116097098817121,0.8989980642647918,1.295975965176862,1.952603787533139
4,0.30062600361802455,0.5573959784729491,0.7940063272029001,1.0132864710184004,1.2771299988996314
5,0.16552114081557115,0.3411703234642629,0.5315775099269304,0.7173547344087428,0.9071831756238035
6,0.09426869706212263,0.2046977421920377,0.3102297121498945,0.4221278798314271,0.533046632478548
7,0.040107045659157625,0.09337089994724528,0.14111738287481387,0.19225917125500958,0.24170330690889172
8,0.022656174251905102,0.05167854622748602,0.08313505262682534,0.11608948790232367,0.1497928876159015
9,0.010889548737866524,0.03132839406124677,0.053107491536979815,0.07723203027933026,0.09951372231219562
10,0.008185111359011761,0.02425218180447929,0.04532126474712067,0.0616914874651442,0.07775855791061173
11,0.0029063076564606978,0.0073349669424960465,0.016192285514566744,0.028094307345786745,0.038750768752809306
12,0.001400563499208679,0.003819718634205488,0.0054749300423612,0.008912676813146139,0.013369015219719208
13,,,0.0035367765131532297,0.007073553026306459,0.00966718913595216
14,,,0.0017561924754967762,0.0026342887132451646,0.004061195099586295
15,,,,0.001026806084463841,0.0015402091266957614
16,,,,,0.00048228770633907677
