5.000000000000000000e+01,1.671381550373848057e+00
1.500000000000000000e+02,1.404489321138279179e-01
2.500000000000000000e+02,8.826096524104148910e-02
3.500000000000000000e+02,5.016563806256541663e-02
4.500000000000000000e+02,1.377220774221867526e-02
5.500000000000000000e+02,9.147068638426930631e-03
6.500000000000000000e+02,3.907865987302537418e-03
7.500000000000000000e+02,1.075887415301212454e-03
8.500000000000000000e+02,2.902237197558091958e-04
9.500000000000000000e+02,5.528540128455311601e-05
1.050000000000000000e+03,1.364185226501960008e-05
